project,commit_count
https://github.com/open5gs/open5gs,21
https://github.com/neutrinolabs/xrdp,21
https://github.com/gstreamer/gstreamer,21
https://github.com/Icinga/icinga2,21
https://github.com/glennrp/libpng,21
https://github.com/jsummers/imageworsener,21
https://github.com/dovecot/core,21
https://github.com/cobbler/cobbler,21
https://github.com/forkcms/forkcms,20
https://github.com/mono/mono,20
https://github.com/mozilla/bugzilla,20
https://github.com/janeczku/calibre-web,20
https://github.com/ckeditor/ckeditor4,20
https://github.com/weseek/growi,20
https://github.com/rdesktop/rdesktop,20
https://github.com/gnuboard/gnuboard5,20
https://github.com/mastodon/mastodon,20
https://github.com/ClusterLabs/pacemaker,20
https://github.com/zeromq/libzmq,20
https://github.com/OS4ED/openSIS-Classic,20
https://github.com/zabbix/zabbix,20
https://github.com/decidim/decidim,20
https://github.com/gogs/gogs,20
https://github.com/libreswan/libreswan,20
https://github.com/pluck-cms/pluck,20
https://github.com/apache/commons-compress,19
https://github.com/apache/subversion,19
https://github.com/shirasagi/shirasagi,19
https://github.com/lua/lua,19
https://github.com/InfrastructureServices/dnsmasq,19
https://github.com/polonel/trudesk,19
https://github.com/DSpace/DSpace,19
https://github.com/helm/helm,19
https://github.com/bolt/bolt,19
https://github.com/minio/minio,19
https://github.com/tribe29/checkmk,19
https://github.com/qpdf/qpdf,19
https://github.com/urllib3/urllib3,19
https://github.com/nilsteampassnet/teampass,19
https://github.com/ClickHouse/ClickHouse,19
https://github.com/mirror/busybox,19
https://github.com/webmin/webmin,18
https://github.com/ChurchCRM/CRM,18
https://github.com/upx/upx,18
https://github.com/neomutt/neomutt,18
https://github.com/teeworlds/teeworlds,18
https://github.com/util-linux/util-linux,18
https://github.com/pts/sam2p,18
https://github.com/Matthias-Wandel/jhead,18
https://github.com/ethereum/go-ethereum,18
https://github.com/eclipse/mosquitto,18
https://github.com/jenkinsci/script-security-plugin,18
https://github.com/smarty-php/smarty,18
https://github.com/karelzak/util-linux,18
https://github.com/jupyter/notebook,18
https://github.com/laurent22/joplin,18
https://github.com/facebook/hermes,18
https://github.com/bytecodealliance/wasmtime,18
https://github.com/gradio-app/gradio,18
https://github.com/containers/buildah,18
https://github.com/openstack/glance,18
https://github.com/aio-libs/aiohttp,18
https://github.com/spring-projects/spring-security,18
https://github.com/bestpractical/rt,18
https://github.com/mz-automation/libiec61850,18
https://github.com/hestiacp/hestiacp,17
https://github.com/quagga/quagga,17
https://github.com/CrowCpp/Crow,17
https://github.com/vitejs/vite,17
https://github.com/getkirby/kirby,17
https://github.com/CESNET/libyang,17
https://github.com/yetiforcecompany/yetiforcecrm,17
https://github.com/espressif/esp-idf,17
https://github.com/opencast/opencast,17
https://github.com/electron/electron,17
https://github.com/owasp-modsecurity/ModSecurity,17
https://github.com/OpenVPN/openvpn,17
https://github.com/PHPMailer/PHPMailer,17
https://github.com/OpenZeppelin/openzeppelin-contracts,17
https://github.com/instantsoft/icms2,17
https://github.com/ONLYOFFICE/server,17
https://github.com/snapcore/snapd,17
https://github.com/meetecho/janus-gateway,17
https://github.com/VirusTotal/yara,17
https://github.com/GetSimpleCMS/GetSimpleCMS,17
https://github.com/sleuthkit/sleuthkit,17
https://github.com/cloudfoundry/uaa,17
https://github.com/serghey-rodin/vesta,16
https://github.com/theonedev/onedev,16
https://github.com/traefik/traefik,16
https://github.com/NodeBB/NodeBB,16
https://github.com/asterisk/asterisk,16
https://github.com/qt/qtbase,16
https://github.com/google/asylo,16
https://github.com/kirilkirkov/Ecommerce-CodeIgniter-Bootstrap,16
https://github.com/pkp/pkp-lib,16
https://github.com/denoland/deno,16
https://github.com/pyload/pyload,16
https://github.com/apache/ofbiz-framework,16
https://github.com/bg5sbk/MiniCMS,16
https://github.com/nautobot/nautobot,16
https://github.com/igniterealtime/Openfire,16
https://github.com/parisneo/lollms-webui,16
https://github.com/opencv/opencv,16
https://github.com/vercel/next.js,16
https://github.com/flatCore/flatCore-CMS,16
https://github.com/twisted/twisted,16
https://github.com/kyverno/kyverno,16
https://github.com/memcached/memcached,16
